val_macro_f1,val_accuracy,test_macro_f1,test_accuracy,test_f1_ham,test_f1_spam,test_f1_smishing,fit_time_s,predict_time_s,dataset,model_key,n_train,n_val,n_test
0.0,0.0,0.5472697199042678,0.7016,0.833684506250878,0.1537503890445067,0.6543742644174186,0.0,37.058514351025224,MetaSMS,ministral_8b_zero-shot_expert_direct,0,0,10000
0.0,0.0,0.5438248347787222,0.7464,0.8719158689497101,0.20553994379767163,0.554018691588785,0.0,96.17992245033383,MetaSMS,ministral_8b_zero-shot_expert_cot,0,0,10000
0.0,0.0,0.5594585360822766,0.7828,0.8960158050707936,0.21795537104307214,0.564404432132964,0.0,102.97647236427292,MetaSMS,ministral_8b_few-shot_expert_cot,0,0,10000
0.0,0.0,0.659981079421589,0.9011,0.9756870391810372,0.3408695652173913,0.6633866338663387,0.0,29.479768604040146,MetaSMS,falcon3_7b_zero-shot_basic_direct,0,0,10000
0.0,0.0,0.6157708613449834,0.831,0.9343989769820972,0.28785747773089543,0.6250561293219578,0.0,28.39705480216071,MetaSMS,falcon3_7b_zero-shot_expert_direct,0,0,10000
0.0,0.0,0.5954335736071121,0.8317,0.9310915806903579,0.2390011890606421,0.6162079510703364,0.0,88.02079947991297,MetaSMS,falcon3_7b_zero-shot_expert_cot,0,0,10000
0.0,0.0,0.6280693501250522,0.8693,0.9546524594226242,0.29941860465116277,0.6301369863013698,0.0,95.6895192079246,MetaSMS,falcon3_7b_few-shot_expert_cot,0,0,10000
0.0,0.0,0.4999412765319969,0.7016,0.8387679899881805,0.10542756735650137,0.555628272251309,0.0,28.383567354176193,MetaSMS,moonlight_16b_zero-shot_basic_direct,0,0,10000
0.0,0.0,0.5090422722872728,0.6696,0.8224655598728364,0.18872802481902792,0.5159332321699545,0.0,26.677795046940446,MetaSMS,moonlight_16b_zero-shot_expert_direct,0,0,10000
0.0,0.0,0.5034737794439608,0.73,0.8583463550512942,0.1529715762273902,0.49910340705319783,0.0,162.01179085718468,MetaSMS,moonlight_16b_zero-shot_expert_cot,0,0,10000
